run_id,sweep,agent,propulsion,mission,cost_model,seed,pairing,family,train_steps_requested,eval_episodes,status,learns,protocol_version,report_policy,selection_metric,train_env_steps,eval_env_steps,n_updates,wall_train_s,wall_eval_s,wall_total_s,wall_update_s,act_seconds,act_ms_per_step,planning_sim_steps,num_parameters,n_val_seeds,n_test_seeds,val_seed_lo,test_seed_lo,best_at_step,best_reloaded,norm_frozen,uses_constraints,n_episodes,success_rate,return,return_std,progress,delta_v_m_s,propellant_kg,trip_time_days,wear_fraction,constraint_violations,constraint_cost,terminal_error,payload_delivered_kg,throttle_mean,throttle_saturated_frac,throttle_off_frac,operating_point_mean,throttled_frac,cost_per_kg_delivered,cost_per_kg_delivered_n_finite,cost_total,cost_total_n_finite,cost_per_delta_v,cost_per_delta_v_n_finite,figure_of_merit,figure_of_merit_n_finite,termination_reason_mode,throttled_by_mode,final_n_episodes,final_success_rate,final_return,final_return_std,final_progress,final_delta_v_m_s,final_propellant_kg,final_trip_time_days,final_wear_fraction,final_constraint_violations,final_constraint_cost,final_terminal_error,final_payload_delivered_kg,final_throttle_mean,final_throttle_saturated_frac,final_throttle_off_frac,final_operating_point_mean,final_throttled_frac,final_cost_per_kg_delivered,final_cost_per_kg_delivered_n_finite,final_cost_total,final_cost_total_n_finite,final_cost_per_delta_v,final_cost_per_delta_v_n_finite,final_figure_of_merit,final_figure_of_merit_n_finite,final_termination_reason_mode,final_throttled_by_mode,best_n_episodes,best_success_rate,best_return,best_return_std,best_progress,best_delta_v_m_s,best_propellant_kg,best_trip_time_days,best_wear_fraction,best_constraint_violations,best_constraint_cost,best_terminal_error,best_payload_delivered_kg,best_throttle_mean,best_throttle_saturated_frac,best_throttle_off_frac,best_operating_point_mean,best_throttled_frac,best_cost_per_kg_delivered,best_cost_per_kg_delivered_n_finite,best_cost_total,best_cost_total_n_finite,best_cost_per_delta_v,best_cost_per_delta_v_n_finite,best_figure_of_merit,best_figure_of_merit_n_finite,best_termination_reason_mode,best_throttled_by_mode,cached,train_policy_loss,train_value_loss,train_entropy,train_approx_kl,train_clip_fraction,train_explained_variance,train_epochs_run,train_early_stopped,train_skipped_minibatches,train_n_updates,train_total_steps,train_log_std,train_critic_loss,train_actor_loss,train_alpha_loss,train_q1_mean,train_q2_mean,train_target_q_mean,train_alpha,train_buffer_size,train_skipped_updates
a1bfa62c530c,my_pilot_nuclear,random,hall_hermes,mars_crew_fast,reference,0,random@hall_hermes,electric,50000,4,ok,False,3,best,return,0,36960,0,3.440000000409782e-07,8.966082949002157,8.975583752002422,0.0,0.6334204000668251,158.35510001670627,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,-268.12750886312847,0.06836897643028061,0.0002040847609069696,52.13460362066764,280.2303151950781,220.0,0.14011515759753906,0.75,0.021016640712746133,196583252055.17517,0.0,0.5011803264518014,0.010416666666666668,0.008901515151515152,0.5030048041971343,0.0004261363636363636,,0,16524448.741560917,4,,0,0.0,4,timeout,thermal,4,0.0,-268.12750886312847,0.06836897643028061,0.0002040847609069696,52.13460362066764,280.2303151950781,220.0,0.14011515759753906,0.75,0.021016640712746133,196583252055.17517,0.0,0.5011803264518014,0.010416666666666668,0.008901515151515152,0.5030048041971343,0.0004261363636363636,,0,16524448.741560917,4,,0,0.0,4,timeout,thermal,4,0.0,-268.12750886312847,0.06836897643028061,0.0002040847609069696,52.13460362066764,280.2303151950781,220.0,0.14011515759753906,0.75,0.021016640712746133,196583252055.17517,0.0,0.5011803264518014,0.010416666666666668,0.008901515151515152,0.5030048041971343,0.0004261363636363636,,0,16524448.741560917,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
43a9e350eb7c,my_pilot_nuclear,max_thrust,hall_hermes,mars_crew_fast,reference,0,max_thrust@hall_hermes,electric,50000,4,ok,False,3,best,return,0,36960,0,3.3800097298808396e-07,8.799851746000058,8.813386358000571,0.0,0.6002389803688857,150.05974509222142,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,-270.2520095361864,0.6361041090169169,0.012232345015576407,126.84741828294669,923.5538846266246,220.0,0.46177694231331234,125.25,1.3783797449981436,194346400032.82666,0.0,1.0,1.0,0.0,0.0,0.04299242424242424,,0,19897515.7109099,4,,0,0.0,4,timeout,thermal,4,0.0,-270.2520095361864,0.6361041090169169,0.012232345015576407,126.84741828294669,923.5538846266246,220.0,0.46177694231331234,125.25,1.3783797449981436,194346400032.82666,0.0,1.0,1.0,0.0,0.0,0.04299242424242424,,0,19897515.7109099,4,,0,0.0,4,timeout,thermal,4,0.0,-270.2520095361864,0.6361041090169169,0.012232345015576407,126.84741828294669,923.5538846266246,220.0,0.46177694231331234,125.25,1.3783797449981436,194346400032.82666,0.0,1.0,1.0,0.0,0.0,0.04299242424242424,,0,19897515.7109099,4,,0,0.0,4,timeout,thermal,True,,,,,,,,,,,,,,,,,,,,,
ba32180cd0d7,my_pilot_nuclear,prograde,hall_hermes,mars_crew_fast,reference,0,prograde@hall_hermes,electric,50000,4,ok,False,3,best,return,0,36960,0,3.1099989428184927e-07,8.802934518000257,8.812037792999035,0.0,0.5947495092368627,148.68737730921566,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,-268.1833477581864,0.5828820867213028,0.010428530318534385,99.40037680202002,517.2876383130834,220.0,0.2586438191565418,25.0,0.26865092399547796,194921169301.08325,0.0,1.0,1.0,0.0,0.5,0.008522727272727272,,0,17767385.056109726,4,,0,0.0,4,timeout,none,4,0.0,-268.1833477581864,0.5828820867213028,0.010428530318534385,99.40037680202002,517.2876383130834,220.0,0.2586438191565418,25.0,0.26865092399547796,194921169301.08325,0.0,1.0,1.0,0.0,0.5,0.008522727272727272,,0,17767385.056109726,4,,0,0.0,4,timeout,none,4,0.0,-268.1833477581864,0.5828820867213028,0.010428530318534385,99.40037680202002,517.2876383130834,220.0,0.2586438191565418,25.0,0.26865092399547796,194921169301.08325,0.0,1.0,1.0,0.0,0.5,0.008522727272727272,,0,17767385.056109726,4,,0,0.0,4,timeout,none,True,,,,,,,,,,,,,,,,,,,,,
f747fd606236,my_pilot_nuclear,ppo,hall_hermes,mars_crew_fast,reference,0,ppo@hall_hermes,electric,50000,4,ok,True,3,best,return,50000,232320,50000,108.93207247800092,86.29523046699978,131.40752227399935,0.023633566994249122,12.346023509217048,0.2469007181268908,0.0,152075,3,4,700000000,900000000,15840,True,True,False,4,0.0,-267.4345886443546,0.18743732681336295,0.0037888426406566533,46.06560011394738,230.11588446055134,220.0,0.11505794223027566,0.0,0.0,195623114451.05676,0.0,0.46142343904710176,0.0,0.0,0.5427647818190356,0.0,,0,16261689.316863129,4,,0,0.0,4,timeout,none,4,0.0,-267.45079839518826,0.329834737125289,0.0054429386295491156,51.87950519655791,271.1060240616881,220.0,0.13555301203084408,0.0,0.0,195721901514.46637,0.0,0.5044517470396717,0.0,0.0,0.48166701635204706,0.0,,0,16476608.359981308,4,,0,0.0,4,timeout,none,4,0.0,-267.4345886443546,0.18743732681336295,0.0037888426406566533,46.06560011394738,230.11588446055134,220.0,0.11505794223027566,0.0,0.0,195623114451.05676,0.0,0.46142343904710176,0.0,0.0,0.5427647818190356,0.0,,0,16261689.316863129,4,,0,0.0,4,timeout,none,True,-0.013405057447380386,0.6915772812091745,6.7897215887904165,0.013850047331652604,0.18955078125,0.14952564239501953,10.0,0.0,0.0,24.0,49152.0,-0.06297151744365692,,,,,,,,,
39ac6bf7fc58,my_pilot_nuclear,sac,hall_hermes,mars_crew_fast,reference,0,sac@hall_hermes,electric,50000,4,ok,True,3,best,return,50000,232320,50000,471.551345363001,69.2038200379975,489.35983369600217,399.06127272499725,6.837896034572623,0.13674698093297782,0.0,231437,3,4,700000000,900000000,0,True,True,False,4,0.0,-267.3435675422146,0.35914818692724404,0.00585992130879906,50.9014171682537,260.77479621581824,220.0,0.13038739810790914,0.0,0.0,195746575145.4492,0.0,0.500572117957089,0.0,0.0,0.5009419015919169,0.0,,0,16422439.781282233,4,,0,0.0,4,timeout,none,4,0.0,-267.958006958751,0.2803978203230551,0.00019312764412934835,40.34930698402187,210.92028533403746,220.0,0.11888295067219498,2.25,0.026329836369439176,196689110426.7843,0.0,0.3961879528536828,0.0046875,0.00014204545454545454,0.6300078165844422,0.0009943181818181817,,0,16161043.165459538,4,,0,0.0,4,timeout,thermal,4,0.0,-267.3435675422146,0.35914818692724404,0.00585992130879906,50.9014171682537,260.77479621581824,220.0,0.13038739810790914,0.0,0.0,195746575145.4492,0.0,0.500572117957089,0.0,0.0,0.5009419015919169,0.0,,0,16422439.781282233,4,,0,0.0,4,timeout,none,True,,,-4.841646194458008,,,,,,,50000.0,50000.0,,0.0030976152047514915,-3.4587063789367676,0.0007686547469347715,3.367274045944214,3.361816883087158,3.3634157180786133,0.004854253493249416,50000.0,0.0
4b7c4c21f707,my_pilot_nuclear,random,ion_next,mars_crew_fast,reference,0,random@ion_next,electric,50000,4,ok,False,3,best,return,0,36960,0,3.5499760997481644e-07,9.09072770900093,9.093831682999735,0.0,0.6412007652725151,160.30019131812878,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,-274.7117508942801,1.9248722891253174,0.000153352835936843,13.690902012545415,50.90848821068788,220.0,0.10284895833333334,418.0,74.10771583126183,196580362481.59552,0.0,0.5016389766566907,0.009564393939393939,0.010795454545454546,0.4994903040993394,0.41993371212121217,,0,14433768.307579953,4,,0,0.0,4,timeout,perveance,4,0.0,-274.7117508942801,1.9248722891253174,0.000153352835936843,13.690902012545415,50.90848821068788,220.0,0.10284895833333334,418.0,74.10771583126183,196580362481.59552,0.0,0.5016389766566907,0.009564393939393939,0.010795454545454546,0.4994903040993394,0.41993371212121217,,0,14433768.307579953,4,,0,0.0,4,timeout,perveance,4,0.0,-274.7117508942801,1.9248722891253174,0.000153352835936843,13.690902012545415,50.90848821068788,220.0,0.10284895833333334,418.0,74.10771583126183,196580362481.59552,0.0,0.5016389766566907,0.009564393939393939,0.010795454545454546,0.4994903040993394,0.41993371212121217,,0,14433768.307579953,4,,0,0.0,4,timeout,perveance,True,,,,,,,,,,,,,,,,,,,,,
fd298a7bf09f,my_pilot_nuclear,max_thrust,ion_next,mars_crew_fast,reference,0,max_thrust@ion_next,electric,50000,4,ok,False,3,best,return,0,36960,0,3.5999983083456755e-07,8.896589113999653,8.899507399000868,0.0,0.6041991527599748,151.0497881899937,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,-267.70677127058707,0.0628262582699067,0.0005261274436832997,3.6544895011859313,26.40551267358123,220.0,0.11,0.0,0.0,196523724960.72443,0.0,1.0,1.0,0.0,0.0,1.0,,0,14305294.579331491,4,,0,0.0,4,timeout,perveance,4,0.0,-267.70677127058707,0.0628262582699067,0.0005261274436832997,3.6544895011859313,26.40551267358123,220.0,0.11,0.0,0.0,196523724960.72443,0.0,1.0,1.0,0.0,0.0,1.0,,0,14305294.579331491,4,,0,0.0,4,timeout,perveance,4,0.0,-267.70677127058707,0.0628262582699067,0.0005261274436832997,3.6544895011859313,26.40551267358123,220.0,0.11,0.0,0.0,196523724960.72443,0.0,1.0,1.0,0.0,0.0,1.0,,0,14305294.579331491,4,,0,0.0,4,timeout,perveance,True,,,,,,,,,,,,,,,,,,,,,
4ea52625afb4,my_pilot_nuclear,prograde,ion_next,mars_crew_fast,reference,0,prograde@ion_next,electric,50000,4,ok,False,3,best,return,0,36960,0,4.039975465275347e-07,8.561145768002461,8.563749184999324,0.0,0.5979807942167099,149.49519855417748,0.0,0,3,4,700000000,900000000,0,False,True,False,4,0.0,-299.96807907573213,17.032467047683166,0.0026049222709350894,21.703170856726025,79.89660823739659,220.0,0.09987076029674574,1402.75,344.24355069346467,196193719689.74902,0.0,1.0,1.0,0.0,0.5,0.9806344696969698,,0,14585758.495428994,4,,0,0.0,4,timeout,perveance,4,0.0,-299.96807907573213,17.032467047683166,0.0026049222709350894,21.703170856726025,79.89660823739659,220.0,0.09987076029674574,1402.75,344.24355069346467,196193719689.74902,0.0,1.0,1.0,0.0,0.5,0.9806344696969698,,0,14585758.495428994,4,,0,0.0,4,timeout,perveance,4,0.0,-299.96807907573213,17.032467047683166,0.0026049222709350894,21.703170856726025,79.89660823739659,220.0,0.09987076029674574,1402.75,344.24355069346467,196193719689.74902,0.0,1.0,1.0,0.0,0.5,0.9806344696969698,,0,14585758.495428994,4,,0,0.0,4,timeout,perveance,True,,,,,,,,,,,,,,,,,,,,,
bad4a9ee6ab9,my_pilot_nuclear,ppo,ion_next,mars_crew_fast,reference,0,ppo@ion_next,electric,50000,4,ok,True,3,best,return,50000,232320,50000,110.40070202500283,88.1155593880103,133.21607973699793,0.02339897800629842,12.34170920230099,0.24681443889090854,0.0,152075,3,4,700000000,900000000,0,True,True,False,4,0.0,-267.4778938413765,0.1776496380236114,0.002563434036249923,20.73533210195873,76.40353615716222,220.0,0.11,0.0,0.0,196245602759.732,0.0,0.49774168021835835,0.0,0.0,0.5025520699268038,0.0,,0,14567443.658828488,4,,0,0.0,4,timeout,none,4,0.0,-268.41767001786985,0.9445367245864794,0.0016353840457765112,15.334251421942668,53.73079895693142,220.0,0.108796875,87.75,8.927148415562385,196266538555.52158,0.0,0.40044200493615456,0.0,0.0,0.5624919135490376,0.03314393939393939,,0,14448566.215829771,4,,0,0.0,4,timeout,thermal,4,0.0,-267.4778938413765,0.1776496380236114,0.002563434036249923,20.73533210195873,76.40353615716222,220.0,0.11,0.0,0.0,196245602759.732,0.0,0.49774168021835835,0.0,0.0,0.5025520699268038,0.0,,0,14567443.658828488,4,,0,0.0,4,timeout,none,True,-0.010131809905578848,0.681483004783513,6.866398926079273,0.011016733531141654,0.15126953125,0.2630056142807007,10.0,0.0,0.0,24.0,49152.0,-0.04788156598806381,,,,,,,,,
d881f0b1b741,my_pilot_nuclear,sac,ion_next,mars_crew_fast,reference,0,sac@ion_next,electric,50000,4,ok,True,3,best,return,50000,232320,50000,476.73083725700053,69.42073651199098,494.49737535799795,404.2790517090034,6.780137744943204,0.13559190754626038,0.0,231437,3,4,700000000,900000000,0,True,True,False,4,0.0,-267.47660945133293,0.1777644870428871,0.0025756736125502055,20.878854151315892,77.02346821551737,220.0,0.11,0.0,0.0,196240092400.98242,0.0,0.5005984547773771,0.0,0.0,0.5009515819478442,0.0,,0,14570694.079687659,4,,0,0.0,4,timeout,none,4,0.0,-269.85515987828205,4.0624484258815725,0.000169805755541097,6.152723324954628,29.743298849843747,220.0,0.10733333333333332,153.25,22.35330425435311,196630535458.04803,0.0,0.3772570182131886,0.07675189393939394,0.08224431818181818,0.31544783266656323,0.5565814393939393,,0,14322795.222610967,4,,0,0.0,4,timeout,perveance,4,0.0,-267.47660945133293,0.1777644870428871,0.0025756736125502055,20.878854151315892,77.02346821551737,220.0,0.11,0.0,0.0,196240092400.98242,0.0,0.5005984547773771,0.0,0.0,0.5009515819478442,0.0,,0,14570694.079687659,4,,0,0.0,4,timeout,none,True,,,-4.7373046875,,,,,,,50000.0,50000.0,,0.001537039875984192,-2.832263946533203,0.0008191490778699517,2.7755367755889893,2.779064655303955,2.768432140350342,0.0031181483063846827,50000.0,0.0
